State,District,Median Income,College%
Texas,"Congressional District 3 (119th Congress), Texas",70867,31.1
Texas,"Congressional District 4 (119th Congress), Texas",62262,27.9
Texas,"Congressional District 5 (119th Congress), Texas",46255,15.8
Texas,"Congressional District 6 (119th Congress), Texas",50180,19.3
Texas,"Congressional District 7 (119th Congress), Texas",53635,27.4
Texas,"Congressional District 8 (119th Congress), Texas",55363,23.5
Texas,"Congressional District 9 (119th Congress), Texas",44405,18.7
Texas,"Congressional District 10 (119th Congress), Texas",57319,27.3
Texas,"Congressional District 11 (119th Congress), Texas",48654,16.3
Texas,"Congressional District 12 (119th Congress), Texas",55503,22
Texas,"Congressional District 13 (119th Congress), Texas",48461,18.9
Texas,"Congressional District 14 (119th Congress), Texas",53358,17.8
Texas,"Congressional District 15 (119th Congress), Texas",40203,16.3
Texas,"Congressional District 16 (119th Congress), Texas",40175,18.5
Texas,"Congressional District 17 (119th Congress), Texas",48606,18.8
Texas,"Congressional District 18 (119th Congress), Texas",42544,19
Texas,"Congressional District 19 (119th Congress), Texas",45929,15.9
Texas,"Congressional District 20 (119th Congress), Texas",42093,16.6
Texas,"Congressional District 21 (119th Congress), Texas",60277,29.2
Texas,"Congressional District 22 (119th Congress), Texas",65622,30.4
Texas,"Congressional District 23 (119th Congress), Texas",52024,18
Texas,"Congressional District 24 (119th Congress), Texas",71000,34
Texas,"Congressional District 25 (119th Congress), Texas",51153,21.4
Texas,"Congressional District 26 (119th Congress), Texas",71062,33.4
Texas,"Congressional District 27 (119th Congress), Texas",45936,15.9
Texas,"Congressional District 28 (119th Congress), Texas",41382,14.4
Texas,"Congressional District 29 (119th Congress), Texas",37395,9.9
Texas,"Congressional District 30 (119th Congress), Texas",51317,21.1
Texas,"Congressional District 31 (119th Congress), Texas",60243,24.1
Texas,"Congressional District 32 (119th Congress), Texas",51968,26.3
Texas,"Congressional District 33 (119th Congress), Texas",41074,15.6
Texas,"Congressional District 34 (119th Congress), Texas",35493,14.5
Texas,"Congressional District 35 (119th Congress), Texas",48751,21.8
Texas,"Congressional District 36 (119th Congress), Texas",50182,15.8
Texas,"Congressional District 37 (119th Congress), Texas",70397,36.9
Texas,"Congressional District 38 (119th Congress), Texas",62155,32.5
Utah,"Congressional District 1 (119th Congress), Utah",55114,24.6
Utah,"Congressional District 2 (119th Congress), Utah",51561,22.8
Utah,"Congressional District 3 (119th Congress), Utah",54104,29.8
Utah,"Congressional District 4 (119th Congress), Utah",58229,25.1
Vermont,"Congressional District (at Large) (119th Congress), Vermont",54378,25.9
Virginia,"Congressional District 1 (119th Congress), Virginia",62354,28.3
Virginia,"Congressional District 2 (119th Congress), Virginia",56554,24.2
Virginia,"Congressional District 3 (119th Congress), Virginia",49699,18.9
Virginia,"Congressional District 4 (119th Congress), Virginia",50542,21
Virginia,"Congressional District 5 (119th Congress), Virginia",50132,19.6
Virginia,"Congressional District 6 (119th Congress), Virginia",50222,17.9
Virginia,"Congressional District 7 (119th Congress), Virginia",61596,23.7
Virginia,"Congressional District 8 (119th Congress), Virginia",89816,30.1
Virginia,"Congressional District 9 (119th Congress), Virginia",45876,14.4
Virginia,"Congressional District 10 (119th Congress), Virginia",82700,32.3
Virginia,"Congressional District 11 (119th Congress), Virginia",90856,35
Washington,"Congressional District 1 (119th Congress), Washington",84650,30.5
Washington,"Congressional District 2 (119th Congress), Washington",60065,24.4
Washington,"Congressional District 3 (119th Congress), Washington",59438,18.9
Washington,"Congressional District 4 (119th Congress), Washington",50013,15.6
Washington,"Congressional District 5 (119th Congress), Washington",53490,20.7
Washington,"Congressional District 6 (119th Congress), Washington",61984,22.2
Washington,"Congressional District 7 (119th Congress), Washington",85243,37.1
Washington,"Congressional District 8 (119th Congress), Washington",76304,26.5
Washington,"Congressional District 9 (119th Congress), Washington",61614,25.5
Washington,"Congressional District 10 (119th Congress), Washington",60884,20.3
WestVirginia,"Congressional District 1 (119th Congress), West Virginia",43703,13.8
WestVirginia,"Congressional District 2 (119th Congress), West Virginia",46903,15.8
Wisconsin,"Congressional District 1 (119th Congress), Wisconsin",53357,20.6
