Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Grant Williams,26,CHO,16,82,37,18,13,28,166
Jaylen Clark,23,MIN,40,53,26,36,2,8,163
Quenton Jackson,26,IND,28,44,53,21,5,16,162
Micah Potter,26,UTA,38,164,31,14,14,31,162
Daniel Theis,32,NOP,38,164,60,18,20,25,162
Jordan Goodwin,26,LAL,29,112,42,30,11,26,161
Charles Bassey,24,SAS,36,152,17,14,30,23,157
Colby Jones,22,2TM,39,87,44,26,13,23,157
Rayan Rupert,20,POR,52,70,25,16,4,30,155
Jevon Carter,29,CHI,36,39,40,13,3,11,153
David Roddy,23,3TM,33,84,35,14,9,22,153
Jordan Miller,25,LAC,37,58,34,17,5,26,152
Trevelin Queen,27,ORL,31,54,38,31,10,22,152
Wendell Moore Jr.,23,2TM,36,95,42,20,5,27,150
Bones Hyland,24,2TM,24,25,32,18,4,25,149
Dominick Barlow,21,ATL,35,85,19,9,16,5,148
Doug McDermott,33,SAC,42,22,7,4,2,6,147
Jarred Vanderbilt,25,LAL,36,182,41,35,10,29,147
Gary Harris,30,ORL,48,64,30,26,12,17,145
Bismack Biyombo,32,SAS,28,158,31,16,23,27,144
Keion Brooks Jr.,24,NOP,14,58,13,10,10,12,142
Ousmane Dieng,21,OKC,37,81,31,17,7,18,142
Devin Carter,22,SAC,36,76,41,21,4,18,138
Luka Garza,26,MIN,39,54,11,6,3,12,138
Kyle Lowry,38,PHI,35,67,96,33,11,21,138
Terrence Shannon Jr.,24,MIN,32,47,32,7,5,15,138
Mo Bamba,26,2TM,32,145,18,9,31,20,138
Reggie Jackson,34,PHI,31,42,45,16,3,17,136
Marvin Bagley III,25,2TM,31,84,11,9,8,12,136
Dillon Jones,23,OKC,54,121,58,16,4,28,135
Isaac Jones,24,SAC,40,57,12,5,10,16,134
Hunter Tyson,24,DEN,51,78,20,10,6,14,134
Anthony Gill,32,WAS,51,66,16,9,2,10,129
Delon Wright,32,2TM,40,66,77,35,12,22,125
